,ts_code,trade_date,close,open,high,low,change,vol,amount
15,600316.SH,20180131,13.02,14.19,14.66,12.94,-1.14,91449998.0,1259662450.0
0,600372.SH,20190430,15.3,16.8,17.75,15.03,-1.32,208595983.0,3535302302.0
1,600372.SH,20190329,16.62,16.61,18.76,15.76,0.11,350565224.0,5970921708.0
2,600372.SH,20190228,16.51,13.46,17.27,13.36,3.1,165830127.0,2545858241.0
3,600372.SH,20190131,13.41,13.01,15.07,12.71,0.43,142127845.0,1996034264.0
4,600372.SH,20181228,12.98,15.35,15.47,12.94,-2.09,106567441.0,1507805400.0
5,600372.SH,20181130,15.07,13.66,15.78,13.5,1.5,169684222.0,2474663129.0
6,600372.SH,20181031,13.57,14.16,14.33,12.04,-0.89,88251546.0,1168984480.0
7,600372.SH,20180928,14.46,12.9,15.2,12.59,1.59,155039902.0,2207488593.0
8,600372.SH,20180831,12.87,14.46,14.46,11.9,-1.62,101416139.0,1311254864.0
9,600372.SH,20180731,14.49,13.05,14.63,12.53,1.43,136515964.0,1875080532.0
10,600372.SH,20180629,13.06,13.6,14.08,10.56,-0.57,118663681.0,1505610797.0
11,600372.SH,20180531,13.63,14.38,15.98,13.48,-0.95,136176029.0,2025048860.0
12,600372.SH,20180427,14.58,15.62,16.85,14.18,-1.02,263779346.0,4125451395.0
13,600372.SH,20180330,15.6,13.17,15.98,13.01,2.24,278138741.0,3999352538.0
14,600372.SH,20180228,13.36,13.22,14.07,11.0,0.14,89877004.0,1134192280.0
15,600372.SH,20180131,13.22,13.74,14.49,13.05,-0.47,82477201.0,1134096533.0
0,600038.SH,20190430,42.53,47.02,49.62,41.8,-4.22,141745606.0,6520515599.0
1,600038.SH,20190329,46.75,46.69,50.96,44.5,0.11,177927982.0,8338213250.0
2,600038.SH,20190228,46.64,40.44,49.28,40.43,6.38,88133908.0,3987128392.0
3,600038.SH,20190131,40.26,37.51,42.48,37.31,2.9,82182204.0,3332141826.0
4,600038.SH,20181228,37.36,39.99,41.96,37.02,-2.34,79757443.0,3169302194.0
5,600038.SH,20181130,39.7,36.57,41.54,35.63,3.31,116788011.0,4422814646.0
6,600038.SH,20181031,36.39,39.46,40.4,34.12,-3.47,78164035.0,2899172445.0
7,600038.SH,20180928,39.86,37.85,41.18,36.8,2.13,101822378.0,4041760674.0
8,600038.SH,20180831,37.73,39.28,39.59,32.63,-1.42,116338522.0,4155734700.0
9,600038.SH,20180731,39.15,40.3,41.56,36.99,-0.84,139354224.0,5525304613.0
10,600038.SH,20180629,39.99,41.02,42.8,36.08,-1.42,102072649.0,4044629779.0
11,600038.SH,20180531,41.41,47.0,48.18,40.39,-6.03,148540681.0,6594672159.0
12,600038.SH,20180427,47.44,48.35,53.0,46.05,-0.91,168756034.0,8242710652.0
13,600038.SH,20180330,48.35,39.0,49.36,38.9,9.0,184910316.0,7937237059.0
14,600038.SH,20180228,39.35,41.0,41.37,32.67,-1.51,105311554.0,3869484789.0
15,600038.SH,20180131,40.86,46.72,48.75,39.41,-5.67,154472506.0,6726071023.0
0,002013.SZ,20190430,7.43,8.27,8.66,7.33,-0.59,861755149.0,7028380945.81
1,002013.SZ,20190329,8.02,7.6,8.46,7.11,0.46,1395324609.0,10839502725.52
2,002013.SZ,20190228,7.56,6.75,8.02,6.71,0.86,437198419.0,3236002314.29
3,002013.SZ,20190131,6.7,6.51,7.66,6.42,0.19,496622114.0,3528047746.95
4,002013.SZ,20181228,6.51,7.85,8.0,6.38,-1.22,303828229.0,2139560886.49
5,002013.SZ,20181130,7.73,8.35,8.52,7.55,-0.62,432294958.0,3463220444.74
